mod_id,mod_name,mod_version,mod_file,mod_url,display_url,issue_tracker_url
betterdungeons,YUNG's Better Dungeons,1.20-Forge-4.0.4,YungsBetterDungeons-1.20-Forge-4.0.4.jar,,https://www.curseforge.com/minecraft/mc-mods/yungs-better-dungeons,https://github.com/yungnickyoung/YUNGs-Better-Dungeons/issues
habitat,Habitat,1.3.1,habitat-1.3.1.jar,,https://www.curseforge.com/minecraft/mc-mods/habitat,https://github.com/SnappyDragon18/Habitat/issues
bop_create_mod_rose_quartz,BOP Create Mod Rose Quartz,1.0.0,bop_create_mod_rose_quartz-1.0.0.jar,,https://mcreator.net,
createdeco,Create Deco,2.0.2-1.20.1-forge,createdeco-2.0.2-1.20.1-forge.jar,,,
underground_villages,Underground Villages Mod,2.1.0,UndergroundVillages-forge-1.20.1-2.1.0.jar,,https://www.curseforge.com/minecraft/mc-mods/underground-villages,https://github.com/Mrbysco/UndergroundVillages/issues
playeranimator,Player Animator,1.0.2-rc1+1.20,player-animation-lib-forge-1.0.2-rc1+1.20.jar,,,
connectorextras_kubejs_bridge,Connector Extras KubeJS Bridge,1.10.1+1.20.1,kubejs-bridge-1.10.1+1.20.1.jar,,https://github.com/Sinytra/ConnectorExtras,https://github.com/Sinytra/ConnectorExtras/issues
fabric_rendering_fluids_v1,Fabric Rendering Fluids (v1),3.0.28+4ac5e37a77,fabric-rendering-fluids-v1-3.0.28+4ac5e37a77.jar,,,
fabric_models_v0,Fabric Models (v0),0.4.2+7c3892a477,fabric-models-v0-0.4.2+7c3892a477.jar,,,
nerb,Not Enough Recipe Book,0.3,nerb-1.20.1-0.3-FORGE.jar,,,
torohealth,ToroHealth,1.20.1-forge-1,torohealth-1.20.1-forge-1.jar,,https://www.curseforge.com/minecraft/mc-mods/torohealth-damage-indicators,https://github.com/ToroCraft/ToroHealth/issues
stonycliffs,Stony Cliffs Are Cool,1.1.0,StonyCliffsLithostitched-v1.1.0.jar,,,
mr_dungeons_andtavernsancientcityoverhaul,Dungeons and Taverns Ancient City Overhaul,1,dungeons-and-taverns-ancient-city-overhaul-1 [Forge].jar,,https://modrinth.com/datapack/dungeons-and-taverns-ancient-city-overhaul,
fabric_convention_tags_v1,Fabric Convention Tags,1.5.5+fa3d1c0177,fabric-convention-tags-v1-1.5.5+fa3d1c0177.jar,,,
betterendcities,Better End Cities Vanilla,1.0.0-1.20.1,betterendcities-1.0.0-1.20.1.jar,,,
modernfix,ModernFix,5.17.0+mc1.20.1,modernfix-forge-5.17.0+mc1.20.1.jar,,https://modrinth.com/mod/modernfix,https://github.com/embeddedt/ModernFix/issues
fabric_command_api_v1,Fabric Command API (v1),1.2.34+f71b366f77,fabric-command-api-v1-1.2.34+f71b366f77.jar,,,
fabric_block_view_api_v2,Fabric BlockView API (v2),1.0.1+0767707077,fabric-block-view-api-v2-1.0.1+0767707077.jar,,,
fabric_command_api_v2,Fabric Command API (v2),2.2.13+561530ec77,fabric-command-api-v2-2.2.13+561530ec77.jar,,,
yungsapi,YUNG's API,1.20-Forge-4.0.5,YungsApi-1.20-Forge-4.0.5.jar,,https://www.curseforge.com/minecraft/mc-mods/yungs-api,https://github.com/yungnickyoung/YUNGs-Api/issues
maxhealthfix,MaxHealthFix,12.0.2,MaxHealthFix-Forge-1.20.1-12.0.2.jar,,https://www.curseforge.com/minecraft/mc-mods/max-health-fix,https://github.com/Darkhax-Minecraft/Max-Health-Fix/issues
connectorextras_rei_bridge,Connector Extras REI Bridge,1.10.1+1.20.1,rei-bridge-1.10.1+1.20.1.jar,,https://github.com/Sinytra/ConnectorExtras,https://github.com/Sinytra/ConnectorExtras/issues
lootbeams,LootBeams,1.20.1,lootbeams-1.20.1-1.2.5.jar,,https://www.curseforge.com/minecraft/mc-mods/loot-beams,
medievalend,Medieval Buildings [The End Edition],1.0.1,forge-medievalend-1.0.1.jar,,,
impactfulweather,Biome Particle Weather,4.1.0,BiomeParticleWeather-v4.1.0-1.20.1-Forge.jar,,https://www.curseforge.com/minecraft/mc-mods/biome-particle-weather,https://github.com/shadowmaster435/Impactful_Weather/issues
pickupnotifier,Pick Up Notifier,8.0.0,PickUpNotifier-v8.0.0-1.20.1-Forge.jar,,https://github.com/Fuzss/pickupnotifier,https://github.com/Fuzss/pickupnotifier/issues
balm,Balm,7.2.2,balm-forge-1.20.1-7.2.2.jar,,https://mods.twelveiterations.com/,https://github.com/TwelveIterationMods/Balm/issues
fabric_screen_api_v1,Fabric Screen API (v1),2.0.8+45a670a577,fabric-screen-api-v1-2.0.8+45a670a577.jar,,,
chat_heads,Chat Heads,0.12.2,chat_heads-0.12.2-forge-1.20.jar,,,https://github.com/dzwdz/chat_heads/issues
betterfortresses,YUNG's Better Nether Fortresses,1.20-Forge-2.0.6,YungsBetterNetherFortresses-1.20-Forge-2.0.6.jar,,https://www.curseforge.com/minecraft/mc-mods/yungs-better-nether-fortresses,https://github.com/yungnickyoung/YUNGs-Better-Fortresses/issues
cloth_config,Cloth Config v10 API,11.1.118,cloth-config-11.1.118-forge.jar,,,https://github.com/architectury/ClothConfig/issues/
sound_physics_remastered,Sound Physics Remastered,1.20.1-1.4.2,sound-physics-remastered-forge-1.20.1-1.4.2.jar,,https://www.curseforge.com/minecraft/mc-mods/sound-physics-remastered,https://github.com/henkelmax/sound-physics-remastered/issues
ctov,ChoiceTheorem's Overhauled Village,3.4.3,ctov-forge-3.4.3.jar,,https://github.com/ChoiceTheorem/ChoiceTheorem-s-overhauled-village,https://github.com/ChoiceTheorem/ChoiceTheorem-s-overhauled-village/issues
qualitycrops,Quality Crops,1.20.1-1.3.3,QualityCrops-1.20.1-1.3.3.jar,,,
iter_rpg,Iter RPG,0.6.0,iter_rpg-0.6.0-forge-1.20.1.jar,,https://www.curseforge.com/minecraft/mc-mods/iter-rpg,
embeddium,Embeddium,0.3.19+mc1.20.1,embeddium-0.3.19+mc1.20.1-all.jar,,,
rubidium,Rubidium (Embeddium),0.7.1,embeddium-0.3.19+mc1.20.1-all.jar,,,
connectorextras_terrablender_bridge,Connector Extras Terrablender Bridge,1.10.1+1.20.1,terrablender-bridge-1.10.1+1.20.1.jar,,https://github.com/Sinytra/ConnectorExtras,https://github.com/Sinytra/ConnectorExtras/issues
geophilic_reforged,Geophilic Reforged,1.2.0,GeophilicReforged-v1.2.0.jar,,https://modrinth.com/mod/geophilic-reforged,
